City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,76.86,84,96,15.68,overcast clouds
1,Port Moresby,PG,-9.4431,147.1797,74.98,91,100,9.4,overcast clouds
2,Honningsvag,NO,70.9821,25.9704,40.53,70,5,4.68,clear sky
3,San Joaquin,US,37.9333,-121.3011,88.99,29,1,14.97,clear sky
4,Fare,PF,-16.7,-151.0167,80.53,72,22,10.25,few clouds
5,Sambava,MG,-14.2667,50.1667,71.83,88,38,10.47,scattered clouds
6,Chateaubelair,VC,13.2833,-61.25,79.81,75,100,12.1,overcast clouds
7,Bredasdorp,ZA,-34.5322,20.0403,59.45,32,5,6.35,clear sky
8,Cabo San Lucas,MX,22.8909,-109.9124,102.81,52,7,9.89,clear sky
9,Cape Town,ZA,-33.9258,18.4232,69.12,25,20,10.22,few clouds
10,Victoria,HK,22.2855,114.1577,82.33,85,39,4.0,scattered clouds
11,Tiksi,RU,71.6872,128.8694,43.99,65,100,6.42,overcast clouds
12,Ojinaga,MX,29.5667,-104.4167,101.35,10,1,11.5,clear sky
13,Mataura,NZ,-46.1927,168.8643,43.38,87,88,2.24,overcast clouds
14,Kralendijk,BQ,12.15,-68.2667,79.77,82,100,18.48,overcast clouds
15,Ati,TD,13.2154,18.3353,94.33,26,93,6.04,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,42.12,70,59,12.26,broken clouds
17,Busselton,AU,-33.65,115.3333,48.09,74,0,8.03,clear sky
18,Businga,CD,3.3333,20.8833,70.45,95,100,0.36,overcast clouds
19,Lompoc,US,34.6391,-120.4579,75.69,79,90,5.99,overcast clouds
20,Puerto Ayora,EC,-0.7393,-90.3518,74.55,89,30,7.0,scattered clouds
21,Hilo,US,19.7297,-155.09,81.28,76,30,4.0,light rain
22,Chokurdakh,RU,70.6333,147.9167,36.84,76,100,6.85,overcast clouds
23,Peleduy,RU,59.6289,112.7406,42.24,96,57,5.08,broken clouds
24,Kavaratti,IN,10.5669,72.642,82.74,75,100,10.76,overcast clouds
25,Chapais,CA,49.7834,-74.8492,80.22,29,54,9.26,broken clouds
26,Manokwari,ID,-0.8667,134.0833,78.33,80,100,3.94,overcast clouds
27,Mahebourg,MU,-20.4081,57.7,72.25,82,27,11.61,scattered clouds
28,Laguna,US,38.421,-121.4238,93.22,35,1,5.01,clear sky
29,Sao Filipe,CV,14.8961,-24.4956,75.92,68,7,6.98,clear sky
30,Castro,BR,-24.7911,-50.0119,66.45,66,99,4.12,overcast clouds
31,Jamestown,US,42.097,-79.2353,86.29,50,75,5.75,broken clouds
32,Thompson,CA,55.7435,-97.8558,73.8,38,100,6.17,overcast clouds
33,Borovoy,RU,55.4333,86.0833,58.28,77,40,5.23,moderate rain
34,Avarua,CK,-21.2078,-159.775,73.45,68,75,3.44,broken clouds
35,Cayenne,GF,4.9333,-52.3333,84.24,84,40,3.0,scattered clouds
36,Lagoa,PT,39.05,-27.9833,64.04,90,100,12.8,overcast clouds
37,Saskylakh,RU,71.9167,114.0833,36.36,68,63,4.52,broken clouds
38,Upernavik,GL,72.7868,-56.1549,37.62,85,62,2.68,broken clouds
39,Khani,GE,41.9563,42.9566,51.37,99,93,0.27,overcast clouds
40,Vokhma,RU,58.9303,46.7586,58.87,68,26,5.08,scattered clouds
41,Norman Wells,CA,65.282,-126.8329,50.04,76,75,12.66,light rain
42,Albany,US,42.6001,-73.9662,92.44,41,59,1.01,broken clouds
43,Rockland,US,41.1668,-74.0496,94.86,43,5,3.0,clear sky
44,Airai,TL,-8.9266,125.4092,55.06,82,69,2.75,broken clouds
45,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,87,20,11.65,few clouds
46,Tuktoyaktuk,CA,69.4541,-133.0374,36.07,75,15,8.48,few clouds
47,Paris,FR,48.8534,2.3488,69.39,63,75,4.0,broken clouds
48,Umm Lajj,SA,25.0213,37.2685,84.22,49,0,10.0,clear sky
49,Aklavik,CA,68.2191,-135.0107,47.07,44,13,7.63,few clouds
50,Khorramabad,IR,33.4878,48.3558,73.89,19,0,4.7,clear sky
51,Ushuaia,AR,-54.8,-68.3,38.14,97,100,9.15,overcast clouds
52,Half Moon Bay,US,37.4636,-122.4286,84.81,60,1,10.36,haze
53,Fortuna,US,40.5982,-124.1573,66.42,61,20,8.01,few clouds
54,Sarakhs,IR,36.5449,61.1577,84.97,28,0,10.74,clear sky
55,Mehamn,NO,71.0357,27.8492,40.95,65,0,4.61,clear sky
56,Saint-Pierre,RE,-21.3393,55.4781,69.44,93,75,8.05,very heavy rain
57,Vaini,TO,-21.2,-175.2,76.62,70,33,15.68,scattered clouds
58,Olavarria,AR,-36.8927,-60.3225,49.41,59,100,6.91,overcast clouds
59,Bethanien,NA,-26.502,17.1583,57.15,33,0,13.89,clear sky
60,San Quintin,MX,30.4833,-115.95,66.4,62,17,11.95,few clouds
61,San Cristobal,VE,7.7669,-72.225,69.33,93,100,3.56,overcast clouds
62,Hobart,AU,-42.8794,147.3294,53.46,81,100,1.99,overcast clouds
63,Shumskiy,RU,54.8318,99.1328,41.7,88,15,4.68,few clouds
64,Torbay,CA,47.6666,-52.7314,45.88,87,90,12.66,overcast clouds
65,Kapaa,US,22.0752,-159.319,82.38,80,25,5.99,scattered clouds
66,Geraldton,AU,-28.7667,114.6,55.13,93,85,14.14,overcast clouds
67,Portland,US,45.5234,-122.6762,61.41,62,98,5.01,overcast clouds
68,Ribeira Grande,PT,38.5167,-28.7,68.4,77,40,10.36,scattered clouds
69,Chivay,PE,-15.6383,-71.6011,54.86,27,36,8.97,scattered clouds
70,Khatanga,RU,71.9667,102.5,32.61,94,97,5.48,overcast clouds
71,Faanui,PF,-16.4833,-151.75,80.8,75,56,10.74,broken clouds
72,Merauke,ID,-8.4667,140.3333,76.24,89,98,14.29,overcast clouds
73,Codrington,AU,-38.2667,141.9667,55.99,65,100,19.66,light rain
74,Sorland,NO,67.667,12.6934,62.67,84,97,1.9,overcast clouds
75,Guerrero Negro,MX,27.9769,-114.0611,72.81,53,84,12.95,broken clouds
76,Te Anau,NZ,-45.4167,167.7167,36.5,94,16,1.12,few clouds
77,Yellowknife,CA,62.456,-114.3525,49.32,57,100,5.99,overcast clouds
78,New Norfolk,AU,-42.7826,147.0587,53.1,79,100,3.0,overcast clouds
79,Ploemeur,FR,47.7333,-3.4333,63.86,81,0,3.44,clear sky
80,Monte Alegre,BR,-2.0078,-54.0692,86.77,59,86,5.37,overcast clouds
81,Abeche,TD,13.8292,20.8324,92.34,29,83,6.82,broken clouds
82,Antigonish,CA,45.6169,-61.9986,64.15,75,65,5.01,broken clouds
83,Port Elizabeth,ZA,-33.918,25.5701,62.1,87,20,2.3,few clouds
84,Henties Bay,NA,-22.116,14.2845,75.85,45,0,1.05,clear sky
85,Kankaanpaa,FI,61.8,22.4167,56.16,71,0,4.83,clear sky
86,Clyde River,CA,70.4692,-68.5914,35.83,93,90,12.66,overcast clouds
87,Saldanha,ZA,-33.0117,17.9442,65.61,46,6,15.14,clear sky
88,Griffith,US,41.5284,-87.4237,87.98,56,90,4.0,overcast clouds
89,Pangnirtung,CA,66.1451,-65.7125,35.73,87,20,3.22,few clouds
90,Hamilton,US,39.1834,-84.5333,85.39,68,20,1.01,few clouds
91,Lebu,CL,-37.6167,-73.65,51.75,70,100,2.71,overcast clouds
92,Flin Flon,CA,54.7682,-101.865,57.04,88,90,12.82,overcast clouds
93,Iqaluit,CA,63.7506,-68.5145,36.7,69,42,4.0,scattered clouds
94,Ketchikan,US,55.3422,-131.6461,51.78,91,100,3.44,light rain
95,Kudahuvadhoo,MV,2.6708,72.8944,82.96,75,86,14.14,overcast clouds
96,Prabumulih,ID,-3.45,104.25,72.86,99,52,2.77,broken clouds
97,Georgetown,MY,5.4112,100.3354,80.53,89,20,1.01,few clouds
98,Hermanus,ZA,-34.4187,19.2345,66.9,42,0,11.32,clear sky
99,Sitka,US,57.0531,-135.33,52.11,77,100,3.56,light rain
100,Anadyr,RU,64.75,177.4833,45.1,61,75,9.78,broken clouds
101,Cherskiy,RU,68.75,161.3,64.29,42,100,17.11,overcast clouds
102,Quelimane,MZ,-17.8786,36.8883,66.15,77,62,5.3,broken clouds
103,Butaritari,KI,3.0707,172.7902,82.22,72,20,5.1,light rain
104,Romny,UA,50.751,33.4747,55.92,92,83,5.53,broken clouds
105,Nantucket,US,41.2835,-70.0995,86.11,57,1,10.36,clear sky
106,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,100,90,2.55,light rain
107,Shestakovo,RU,56.4915,103.96,39.92,86,0,3.85,clear sky
108,Saint-Philippe,RE,-21.3585,55.7679,69.35,85,70,12.68,light rain
109,Longyearbyen,SJ,78.2186,15.6401,39.04,70,0,17.27,clear sky
110,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.26,90,100,0.72,overcast clouds
111,Haines Junction,CA,60.7522,-137.5108,48.87,79,100,5.48,overcast clouds
112,Vardo,NO,70.3705,31.1107,41.2,70,20,11.5,few clouds
113,Lorengau,PG,-2.0226,147.2712,79.9,78,96,4.07,overcast clouds
114,East London,ZA,-33.0153,27.9116,63.3,41,0,9.78,clear sky
115,Kavieng,PG,-2.5744,150.7967,81.34,77,90,7.43,light rain
116,Aksu,CN,41.1231,80.2644,76.53,25,84,7.0,broken clouds
117,Campo De Criptana,ES,39.4046,-3.1249,72.32,32,0,3.6,clear sky
118,Harper,LR,4.375,-7.7169,77.81,88,100,9.95,overcast clouds
119,Kaitangata,NZ,-46.2817,169.8464,46.42,80,98,1.5,overcast clouds
120,Lavrentiya,RU,65.5833,-171.0,35.04,81,99,5.03,overcast clouds
121,Kruisfontein,ZA,-34.0033,24.7314,60.89,21,0,9.04,clear sky
122,Ancud,CL,-41.8697,-73.8203,51.22,82,100,15.95,light rain
123,Mago,RU,53.2514,140.1822,41.31,87,100,4.94,overcast clouds
124,Bathsheba,BB,13.2167,-59.5167,81.91,73,41,19.73,scattered clouds
125,Karratha,AU,-20.7377,116.8463,74.97,62,96,7.9,overcast clouds
126,Sumter,US,28.7086,-82.0831,96.03,50,100,4.5,overcast clouds
127,Provideniya,RU,64.3833,-173.3,37.51,75,0,4.47,clear sky
128,Bethel,US,41.3712,-73.414,94.41,45,1,12.66,clear sky
129,Bengkulu,ID,-3.8004,102.2655,73.85,90,49,4.45,scattered clouds
130,Zhurivka,UA,50.5028,31.7849,57.18,94,67,7.43,broken clouds
131,Sechura,PE,-5.5569,-80.8222,75.2,63,93,11.52,overcast clouds
132,Qaanaaq,GL,77.484,-69.3632,40.37,84,40,5.28,scattered clouds
133,Ailigandi,PA,9.2333,-78.0167,84.07,78,86,10.92,overcast clouds
134,Chuy,UY,-33.6971,-53.4616,54.05,75,100,5.06,overcast clouds
135,Waldoboro,US,44.0954,-69.3756,88.21,60,45,7.52,scattered clouds
136,Kropotkin,RU,45.4375,40.5756,55.45,94,38,8.84,scattered clouds
137,Athabasca,CA,54.7169,-113.2854,63.63,38,98,11.16,overcast clouds
138,Puri,IN,19.8,85.85,87.39,83,74,20.15,broken clouds
139,Atuona,PF,-9.8,-139.0333,79.66,65,63,7.4,broken clouds
140,Padang,ID,-0.9492,100.3543,75.87,79,62,4.12,broken clouds
141,Aswan,EG,24.0934,32.907,88.2,12,5,12.75,clear sky
142,Hasaki,JP,35.7333,140.8333,66.29,85,100,1.74,overcast clouds
143,Kalmunai,LK,7.4167,81.8167,81.82,75,100,4.36,overcast clouds
144,Skibbereen,IE,51.55,-9.2667,53.4,78,99,3.6,overcast clouds
145,Koumra,TD,8.9126,17.5539,80.37,59,17,4.5,few clouds
146,Togul,RU,53.465,85.9128,50.11,94,26,5.59,scattered clouds
147,Porto Novo,BJ,6.4965,2.6036,80.6,78,88,8.32,overcast clouds
148,Henderson,US,36.0397,-114.9819,104.11,11,1,8.01,clear sky
149,Hithadhoo,MV,-0.6,73.0833,83.03,74,8,13.85,clear sky
150,Hambantota,LK,6.1241,81.1185,79.66,85,100,15.28,overcast clouds
151,Atikokan,CA,48.7555,-91.6216,90.63,36,52,15.88,broken clouds
152,Severo-Kurilsk,RU,50.6789,156.125,42.01,94,100,8.88,overcast clouds
153,Ostrovnoy,RU,68.0531,39.5131,39.67,87,7,8.16,clear sky
154,Northam,GB,51.0333,-4.2167,61.34,86,32,4.68,scattered clouds
155,Lerwick,GB,60.1545,-1.1494,53.6,81,73,6.91,broken clouds
156,Plettenberg Bay,ZA,-34.0527,23.3716,68.5,26,3,10.94,clear sky
157,Saint George,US,37.1041,-113.5841,102.67,11,1,3.0,clear sky
158,Dikson,RU,73.5069,80.5464,30.0,88,100,9.98,overcast clouds
159,Comodoro Rivadavia,AR,-45.8667,-67.5,51.55,47,43,18.72,scattered clouds
160,Tallahassee,US,30.4383,-84.2807,90.32,64,75,1.99,broken clouds
161,Inuvik,CA,68.3499,-133.7218,47.23,40,3,9.13,clear sky
162,Eureka,US,40.8021,-124.1637,66.67,64,20,8.99,few clouds
163,Port Alfred,ZA,-33.5906,26.891,65.52,36,0,8.14,clear sky
164,Nacala,MZ,-14.5428,40.6728,68.65,82,23,9.46,few clouds
165,Bilibino,RU,68.0546,166.4372,62.33,47,6,5.66,clear sky
166,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,83,0,12.66,clear sky
167,Ilulissat,GL,69.2167,-51.1,42.82,70,94,6.91,overcast clouds
168,Hay River,CA,60.8156,-115.7999,48.61,55,69,9.37,broken clouds
169,Mocuba,MZ,-16.8392,36.9856,61.93,96,86,3.8,overcast clouds
170,Chabahar,IR,25.2919,60.643,83.77,77,6,8.9,clear sky
171,Bluff,NZ,-46.6,168.3333,46.9,84,76,9.33,broken clouds
172,Lehi,US,40.3916,-111.8508,88.68,24,74,3.0,broken clouds
173,Chau Doc,VN,10.7,105.1167,81.37,79,100,11.03,overcast clouds
174,Pecos,US,31.4229,-103.4932,100.49,12,1,9.22,clear sky
175,Naze,JP,28.3667,129.4833,69.48,91,100,2.98,light rain
176,Mount Gambier,AU,-37.8333,140.7667,57.09,60,100,15.84,overcast clouds
177,Barrow,US,71.2906,-156.7887,32.02,86,90,10.36,overcast clouds
178,Villa San Giovanni,IT,38.2276,15.6386,75.38,58,100,5.99,overcast clouds
179,Ibra,OM,22.6906,58.5334,80.02,77,0,5.57,clear sky
180,Birao,CF,10.2849,22.7882,82.06,55,57,3.58,broken clouds
181,Cidreira,BR,-30.1811,-50.2056,63.18,78,100,10.18,moderate rain
182,Kieta,PG,-6.2167,155.6333,78.15,85,99,4.63,light rain
183,Kodiak,US,57.79,-152.4072,54.32,56,17,6.67,few clouds
184,Lensk,RU,60.7253,114.9278,46.17,82,89,10.2,overcast clouds
185,Hervey Bay,AU,-25.2986,152.8535,56.03,82,1,11.52,clear sky
186,Maniitsoq,GL,65.4167,-52.9,41.07,88,100,6.22,overcast clouds
187,Vila Velha,BR,-20.3297,-40.2925,76.95,80,0,3.0,clear sky
188,Carnarvon,AU,-24.8667,113.6333,57.27,82,100,6.91,overcast clouds
189,Taoudenni,ML,22.6783,-3.9836,106.52,7,90,7.29,overcast clouds
190,Ouesso,CG,1.6136,16.0517,72.36,87,93,1.54,overcast clouds
191,Aleksandrov Gay,RU,50.147,48.5704,63.01,74,51,4.45,broken clouds
192,Tilichiki,RU,60.4667,166.1,37.29,96,100,8.48,light rain
193,Mar Del Plata,AR,-38.0023,-57.5575,57.09,62,65,1.99,broken clouds
194,Srednekolymsk,RU,67.45,153.6833,52.92,57,100,13.58,overcast clouds
195,Pirojpur,BD,22.5667,89.9833,84.42,78,100,10.2,overcast clouds
196,Helong,CN,42.5397,128.9972,52.9,90,46,3.47,scattered clouds
197,Calvinia,ZA,-31.4707,19.776,54.66,38,1,13.22,clear sky
198,Lotofaga,WS,-13.9764,-171.8578,82.18,77,16,7.16,light rain
199,Sayyan,YE,15.1718,44.3244,67.69,34,23,2.98,few clouds
200,Sur,OM,22.5667,59.5289,84.11,79,0,14.18,clear sky
201,Tuburan,PH,6.6439,122.2736,81.46,75,91,1.68,overcast clouds
202,Roebourne,AU,-20.7833,117.1333,74.98,60,97,6.98,overcast clouds
203,Lincoln,US,40.8,-96.667,85.86,60,20,5.01,few clouds
204,Kamphaeng Phet,TH,16.25,99.5,81.09,64,100,2.3,overcast clouds
205,Paranaiba,BR,-19.6772,-51.1908,86.77,28,30,4.36,scattered clouds
206,Shaoguan,CN,24.8,113.5833,66.58,81,4,0.74,clear sky
207,Esperance,AU,-33.8667,121.9,59.56,59,100,28.39,overcast clouds
208,Rawson,AR,-43.3002,-65.1023,54.25,42,14,17.78,few clouds
209,Mayo,US,38.8876,-76.5119,96.35,61,13,1.01,few clouds
210,Roma,US,43.2128,-75.4557,89.89,45,1,9.22,clear sky
211,Lisala,CD,2.15,21.5167,69.87,99,92,1.03,overcast clouds
212,Channel-Port Aux Basques,CA,47.5702,-59.1367,52.27,65,1,14.0,clear sky
213,Chengde,CN,40.9725,117.9361,65.08,50,100,3.31,light rain
214,Warangal,IN,18.0,79.5833,87.94,55,44,3.56,scattered clouds
215,Bubaque,GW,11.2833,-15.8333,79.48,85,49,18.03,scattered clouds
216,Narsipatnam,IN,17.6667,82.6167,82.67,80,12,4.0,few clouds
217,San-Pedro,CI,4.7485,-6.6363,78.12,84,100,7.43,overcast clouds
218,Soller,ES,39.7662,2.7152,70.86,74,2,4.9,clear sky
219,Sobradinho,BR,-12.8333,-39.1,72.57,88,22,5.21,few clouds
220,Chapeco,BR,-27.0964,-52.6183,62.13,96,100,2.01,moderate rain
221,Dickinson,US,29.4608,-95.0513,92.19,68,20,1.01,few clouds
222,Nanortalik,GL,60.1432,-45.2371,45.99,68,100,14.56,overcast clouds
223,Traralgon,AU,-38.1833,146.5333,55.9,80,100,3.2,overcast clouds
